# csv for data analysis practice 


FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,Bahia,Brazil,2021-01-02 05:22:33,-12.5797,-41.7007,494684,9159,478198,7327,"Bahia, Brazil",3326.039610936926,1.851484988396633
,,Ceara,Brazil,2021-01-02 05:22:33,-5.4984,-39.3206,336504,10004,269846,56153,"Ceara, Brazil",3679.25022103403,2.9741779566180147
,,Distrito Federal,Brazil,2021-01-02 05:22:33,-15.7998,-47.8645,252077,4263,241952,5862,"Distrito Federal, Brazil",8360.019739538906,1.6911499264113743
,,Espirito Santo,Brazil,2021-01-02 05:22:33,-19.1834,-40.3089,249271,5093,227931,16242,"Espirito Santo, Brazil",6202.580468565314,2.0408408890315335
,,Goias,Brazil,2021-01-02 05:22:33,-15.827,-49.8362,309191,6805,298401,3906,"Goias, Brazil",4404.33754125255,2.201467429281296
,,Maranhao,Brazil,2021-01-02 05:22:33,-4.9609,-45.2744,200959,4506,190884,5569,"Maranhao, Brazil",2840.337229535188,2.242248418831702
,,Mato Grosso,Brazil,2021-01-02 05:22:33,-12.6819,-56.9211,180659,4530,170171,5066,"Mato Grosso, Brazil",5157.289524420672,2.4857543516004097
,,Mato Grosso do Sul,Brazil,2021-01-02 05:22:33,-20.7722,-54.7852,135361,2360,117816,14587,"Mato Grosso do Sul, Brazil",4848.8909264026515,1.741743970315399
,,Minas Gerais,Brazil,2021-01-02 05:22:33,-18.5122,-44.555,546884,12001,494278,40605,"Minas Gerais, Brazil",2583.4446568063336,2.1944324573401306
,,Para,Brazil,2021-01-02 05:22:33,-1.9981,-54.9306,293807,7209,275483,11120,"Para, Brazil",3415.1645992352546,2.450289650853296
,,Paraiba,Brazil,2021-01-02 05:22:33,-7.24,-36.782,167062,3680,127030,36352,"Paraiba, Brazil",4157.708305387062,2.202775017658115
,,Parana,Brazil,2021-01-02 05:22:33,-25.2521,-52.0215,418323,7993,305194,105136,"Parana, Brazil",3658.602179455459,1.9107244880152419
,,Pernambuco,Brazil,2021-01-02 05:22:33,-8.8137,-36.9541,222993,9666,189850,23477,"Pernambuco, Brazil",2333.2776328647133,4.33466521370626
,,Piaui,Brazil,2021-01-02 05:22:33,-7.7183,-42.7289,143210,2848,139971,368,"Piaui, Brazil",4374.245965831273,1.9835311044217379
,,Rio Grande do Norte,Brazil,2021-01-02 05:22:33,-5.4026,-36.9541,119338,3009,68394,46966,"Rio Grande do Norte, Brazil",3374.906219336824,2.528875482666261
,,Rio Grande do Sul,Brazil,2021-01-02 05:22:33,-30.0346,-51.2177,451912,8917,424406,18589,"Rio Grande do Sul, Brazil",3972.070904021617,1.973171767954823
,,Rio de Janeiro,Brazil,2021-01-02 05:22:33,-22.9068,-43.1729,435390,25600,397324,12466,"Rio de Janeiro, Brazil",2521.8154499554385,5.879785939043157
,,Rondonia,Brazil,2021-01-02 05:22:33,-11.5057,-63.5806,95999,1822,81122,13055,"Rondonia, Brazil",5401.623317250207,1.8979364368378837
,,Roraima,Brazil,2021-01-02 05:22:33,-2.7376,-62.0751,68858,787,65405,2518,"Roraima, Brazil",11342.757292067334,1.1453936835977296
,,Santa Catarina,Brazil,2021-01-02 05:22:33,-27.2423,-50.2189,494447,5270,467020,22157,"Santa Catarina, Brazil",6901.0695082673765,1.0658371878077935
,,Sao Paulo,Brazil,2021-01-02 05:22:33,-23.5505,-46.6333,1466191,46775,1287986,131430,"Sao Paulo, Brazil",3192.990778184452,3.190239198030816
,,Sergipe,Brazil,2021-01-02 05:22:33,-10.5741,-37.3857,113544,2492,99824,11228,"Sergipe, Brazil",4939.496131719897,2.19474388783203
,,Tocantins,Brazil,2021-01-02 05:22:33,-10.1753,-48.2982,90592,1239,80658,8642,"Tocantins, Brazil",5756.116541396406,1.3652027922594328
,,,Brunei,2021-01-02 05:22:33,4.5353,114.7277,157,3,149,5,Brunei,35.887108756225956,1.910828025477707
,,,Bulgaria,2021-01-02 05:22:33,42.7339,25.4858,202540,7604,120343,74593,Bulgaria,2914.8967862593718,3.7543201342944603
,,,Burkina Faso,2021-01-02 05:22:33,12.2383,-1.5616,6828,85,5152,1591,Burkina Faso,32.66473325379876,1.2448740480374927
,,,Burma,2021-01-02 05:22:33,21.9162,95.956,125042,2697,107777,14568,Burma,229.81524245432726,2.156875289902593
,,,Burundi,2021-01-02 05:22:33,-3.3731,29.9189,822,2,687,133,Burundi,6.912918503839235,0.24330900243309003
,,,Cabo Verde,2021-01-02 05:22:33,16.5388,-23.0418,11872,113,11569,190,Cabo Verde,2135.2978841269955,0.9518194070080862
,,,Cambodia,2021-01-02 05:22:33,11.55,104.9167,379,0,362,17,Cambodia,2.26688592258459,0.0
,,,Cameroon,2021-01-02 05:22:33,3.848,11.5021,26848,448,24892,1508,Cameroon,101.13816600582298,1.66865315852205
,,Alberta,Canada,2021-01-02 05:22:33,53.9333,-116.5765,100428,1046,84827,14555,"Alberta, Canada",2260.4261786107613,1.0415421993866252
,,British Columbia,Canada,2021-01-02 05:22:33,53.7267,-127.6476,51990,901,42127,8962,"British Columbia, Canada",996.9692059434628,1.733025581842662
,,Diamond Princess,Canada,2020-12-21 13:27:30,,,0,1,0,0,"Diamond Princess, Canada",,
,,Grand Princess,Canada,2020-12-21 13:27:30,,,13,0,13,0,"Grand Princess, Canada",,0.0
,,Manitoba,Canada,2021-01-02 05:22:33,53.7609,-98.8139,24700,667,19528,4505,"Manitoba, Canada",1784.9851672791262,2.700404858299595
,,New Brunswick,Canada,2021-01-02 05:22:33,46.5653,-66.4619,601,9,567,25,"New Brunswick, Canada",76.15065412271532,1.497504159733777
,,Newfoundland and Labrador,Canada,2021-01-02 05:22:33,53.1355,-57.6604,390,4,366,20,"Newfoundland and Labrador, Canada",74.92032511579032,1.0256410256410255
,,Northwest Territories,Canada,2021-01-02 05:22:33,64.8255,-124.8457,24,0,24,0,"Northwest Territories,Canada",52.742616033755276,0.0
,,Nova Scotia,Canada,2021-01-02 05:22:33,44.682,-63.7443,1497,65,1399,22,"Nova Scotia, Canada",149.79008220310365,4.3741588156123825
,,Nunavut,Canada,2021-01-02 05:22:33,70.2998,-83.1076,266,1,262,3,"Nunavut, Canada",675.0755018653402,0.37593984962406013
,,Ontario,Canada,2021-01-02 05:22:33,51.2538,-85.3232,192482,4581,162622,20154,"Ontario, Canada",1263.5944454291825,2.438295328379879
,,Prince Edward Island,Canada,2021-01-02 05:22:33,46.5107,-63.4168,94,0,89,5,"Prince Edward Island, Canada",57.20614905244708,0.0
,,Quebec,Canada,2021-01-02 05:22:33,52.9399,-73.5491,208390,8388,170045,29957,"Quebec, Canada",2421.8736834642823,4.02514516051634
,,Repatriated Travellers,Canada,2021-01-02 05:22:33,,,13,0,13,0,"Repatriated Travellers, Canada",,0.0
,,Saskatchewan,Canada,2021-01-02 05:22:33,52.9399,-106.4509,15634,155,12496,2699,"Saskatchewan, Canada",1301.0194568095444,1.009771986970684
,,Yukon,Canada,2021-01-02 05:22:33,64.2823,-135.0,60,1,59,0,"Yukon, Canada",139.58032847903968,1.6666666666666667
,,,Central African Republic,2021-01-02 05:22:33,6.6111,20.9394,4963,63,1924,2976,Central African Republic,102.7586441076624,1.2693935119887165
,,,Chad,2021-01-02 05:22:33,15.4542,18.7322,2141,104,1704,333,Chad,13.034325936926647,4.857543204110229
,,Antofagasta,Chile,2021-01-02 05:22:33,-23.6509,-70.3975,23887,585,22670,632,"Antofagasta, Chile",3931.796409748261,2.4490308536023777
,,Araucania,Chile,2021-01-02 05:22:33,-38.9489,-72.3311,23161,311,21736,1114,"Araucania, Chile",2419.6008457790444,1.3427744916022624
